Country Name,2018 HDI value,2019 HDI value,2020 HDI value,2021 HDI value,Life expectancy at birth in years (2021),Expected years of schooling in years (2021),Mean years of schooling in years (2021),Gross national income (GNI) per capita (2021)
Afghanistan,0.483,0.488,0.483,0.478,62.0,10.3,3.0,1824.0
Bangladesh,0.635,0.644,0.655,0.661,72.4,12.4,7.4,5472.0
Bhutan,0.658,0.671,0.668,0.666,71.8,13.2,5.2,9438.0
India,0.645,0.645,0.642,0.633,67.2,11.9,6.7,6590.0
Maldives,0.75,0.755,0.734,0.747,79.9,12.6,7.3,15448.0
Nepal,0.601,0.611,0.604,0.602,68.4,12.9,5.1,3877.0
Pakistan,0.545,0.546,0.543,0.544,66.1,8.7,4.5,4624.0
Sri Lanka,0.776,0.778,0.78,0.782,76.4,14.1,10.8,12578.0
