Country Name,Country Code,2019
India,IND,62.0
Bhutan,BTN,89.0
Nepal,NPL,94.0
Sri Lanka,LKA,99.0
Pakistan,PAK,108.0
Maldives,MDV,147.0
Bangladesh,BGD,168.0
Afghanistan,AFG,173.0
