Country Name,2018 HDI value,2019 HDI value,2020 HDI value,2021 HDI value,Life expectancy at birth in years (2021),Expected years of schooling in years (2021),Mean years of schooling in years (2021),Gross national income (GNI) per capita (2021)
"Hong Kong SAR, China",0.949,0.952,0.949,0.952,85.4734,17.27816963,12.22620964,62606.8454
Mongolia,0.743,0.746,0.745,0.739,70.9754,14.98034954,9.423700333,10588.22532
China,0.755,0.762,0.764,0.768,78.2107,14.2361149,7.600118446,17504.39969
"Korea, Rep.",0.919,0.923,0.922,0.925,83.6978,16.52173996,12.51293027,44500.93187
Japan,0.923,0.924,0.923,0.925,84.7839,15.22162588,13.36610034,42274.29134
