Country Name,2016,2017,2018,2019
"Hong Kong SAR, China",44.55309,44.372982,49.2496,49.118412
China,10.742945,11.3577385,11.380233,11.692401
"Korea, Rep.",36.87733,39.083927,40.092373,40.768528
Japan,42.68171,42.422935,41.73783,42.56412
