"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Heavily indebted poor countries (HIPC)","HPC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2586206896552","55.8970588235294","59.1351351351351","56.2894736842105","50.6052631578947","50.0394736842105","47.6184210526316","44.0921052631579","33.8289473684211","32.3684210526316","26.7368421052632","23.4473684210526","24.1666666666667","23.5769230769231","22.9871794871795","23.025641025641","22.5384615384615","","","",
"Croatia","HRV","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","29","29","25","22.5","22.5","22.5","20.5","20","22.5","22.5","22.5","22.5","22.5","22.5","22.5","19.5","","","",
"Haiti","HTI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260","202","202","202","202","224","224","134","134","134","97","97","97","97","97","97","97","","","",
"Hungary","HUN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","39","39","17","6","5","5","5","7","7","7","7","7","7","7","7","","","",
"IBRD only","IBD","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.5","52.11","60.6016949152542","55.9416666666667","52.1083333333333","47.8083333333333","45.1333333333333","44.5916666666667","41.9916666666667","41.4918032786885","32.9179104477612","30.3253731343284","29.5955223880597","29.6373134328358","26.9880597014925","24.5850746268657","23.6686567164179","","","",
"IDA & IBRD total","IBT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3622448979592","54.2452830188679","57.916","54.4212598425197","50.1614173228346","46.9763779527559","44.35546875","42.3125","37.3984375","36.7022900763359","30.6578571428571","27.7078571428571","27.522695035461","27.0219858156028","25.2666666666667","23.8482269503546","22.968085106383","","","",
"IDA total","IDA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.19","56.1517857142857","55.5151515151515","53.0597014925373","48.4179104477612","46.2313432835821","43.6691176470588","40.3014705882353","33.3455882352941","32.5285714285714","28.5835616438356","25.3054794520548","25.6459459459459","24.6540540540541","23.7081081081081","23.1810810810811","22.3337837837838","","","",
"IDA blend","IDB","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.0714285714286","62.6875","50.0384615384615","49.3461538461538","46.1923076923077","54.3846153846154","51.4615384615385","45.2307692307692","43.4615384615385","44.3076923076923","37.92","29.32","28.8533333333333","26.0933333333333","23.56","20.56","19.18","","","",
"Indonesia","IDN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.9","53.9","49.3","26.3","24.5","21","12.6","","","",
"IDA only","IDX","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.6976744186046","55.0625","56.8584905660377","53.9537037037037","48.9537037037037","44.2685185185185","41.8272727272727","39.1363636363636","30.9545454545455","29.8421052631579","26.1689655172414","24.2672413793103","24.8305084745763","24.2881355932203","23.7457627118644","23.8474576271186","23.135593220339","","","",
"Isle of Man","IMN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6","35","30","28.5","29.8","16.5","17.5","","","",
"Not classified","INX","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","24","24","19","19","19","19","19","19","16","16","12","12","11","11","11","11","","","",
"Iran, Islamic Rep.","IRN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.5","81.5","80.5","80.5","80.5","80.5","62.5","64.5","64.5","73.5","73.5","72.5","72.5","72.5","72.5","72.5","72.5","","","",
"Iraq","IRQ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5","30.5","29.5","30.5","30.5","30.5","30.5","30.5","27.5","27.5","27.5","34.5","34.5","26.5","26.5","26.5","","","",
"Iceland","ISL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","4.5","4.5","4.5","12","12","11.5","11.5","11.5","11.5","","","",
"Israel","ISR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","18","18","18","18","18","18","19","12","12","12","11","11","11","11","","","",
"Italy","ITA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","15","15","15","15","12","12.5","12.5","12.5","12.5","12.5","11.5","11","11","11","11","11","","","",
"Jamaica","JAM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","8","8","8","8","8","8","7","7","6","15","3","10","3","3","3","","","",
"Jordan","JOR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.5","26.5","16.5","16.5","13.5","13.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","12.5","","","",
"Japan","JPN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7","11.2","11.2","11.2","11.2","11.2","11.2","","","",
"Kazakhstan","KAZ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","32","31","27","27","27","26","25","25","25","18","16","11","9","9","5","5","","","",
"Kenya","KEN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","47","55","55","45","33","33","33","35","34","34","32","28","22","23","23","23","","","",
"Kyrgyz Republic","KGZ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","21","21","21","19","15","14","14","14","10","10","10","10","10","10","10","","","",
"Cambodia","KHM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","95","87","86","86","102","102","102","102","102","101","101","87","99","99","99","99","","","",
"Kiribati","KIR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","31","","","",
"St. Kitts and Nevis","KNA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","19","19","19","19","19","19","19","18.5","18.5","18.5","18.5","18.5","18.5","18.5","","","",
"Korea, Rep.","KOR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","17","17","17","17","14","14","9","8","8","8","8","8","8","8","8","","","",
"Kuwait","KWT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4","35.4","35.4","35.4","35.4","35.4","35.4","35.4","32.4","32.4","32.4","31.4","31.4","61.4","38.4","35.4","19.4","","","",
"Latin America & Caribbean (excluding high income)","LAC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.6428571428571","73","85.4761904761905","81.7142857142857","74.5952380952381","73.7380952380952","70.3333333333333","66.1904761904762","65.6666666666667","64.9047619047619","38.6521739130435","32.695652173913","31.9739130434783","31.2130434782609","30.8652173913043","26.3695652173913","26.0652173913043","","","",
"Lao PDR","LAO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","135","135","116","86","86","86","86","78","88","88","88","187","174","174","174","173","","","",
"Lebanon","LBN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","53","53","53","53","18","15","15","15","15","15","15","15","15","15","15","15","","","",
"Liberia","LBR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","69","33","21","21","7","7","6","6","6","6","6","18","18","","","",
"Libya","LBY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","35","35","35","35","35","","","",
"St. Lucia","LCA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","20","20","20","14","14","11","11","11","11","11","11","11","11","11","","","",
"Latin America & Caribbean","LCN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3157894736842","67.5","74.7931034482759","70.6551724137931","64.3","63.4666666666667","61.7833333333333","58.4","53.9516129032258","53.4354838709677","35.6515151515151","30.8030303030303","31.7242424242424","32.1787878787879","31.9363636363636","28.7575757575758","28.0909090909091","","","",
"Least developed countries: UN classification","LDC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.9838709677419","66.5972222222222","67.625","63.8292682926829","58.6585365853659","53","51.219512195122","46.5121951219512","36.1463414634146","35.1744186046512","31.075","27.6136363636364","28.0333333333333","27.5222222222222","27.0222222222222","27.2","26.4","","","",
"Low income","LIC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.675","57.9782608695652","63.0769230769231","59.4444444444444","54.7777777777778","50.8148148148148","48.1481481481481","42.4814814814815","33.7407407407407","31.375","27.2321428571429","25.9821428571429","26.9310344827586","26.3793103448276","24.7241379310345","24.051724137931","23.1896551724138","","","",
"Liechtenstein","LIE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46","46","","","",
"Sri Lanka","LKA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","46","46","46","42","44","44","38","35","11","11","11","10","9","9","9","8","","","",
"Lower middle income","LMC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.625","60.9186046511628","56.8645833333333","55.3020833333333","50.7916666666667","49.5520833333333","47.21875","43.53125","38.78125","37.8877551020408","34.3722222222222","30.2444444444444","28.862962962963","27.6796296296296","26.8462962962963","25.2574074074074","24.2277777777778","","","",
"Low & middle income","LMY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7197802197802","54.565","59.3217391304348","55.9487179487179","51.3717948717949","47.8888888888889","44.9110169491525","42.7754237288136","38.1313559322034","37.2644628099174","30.77","27.7469230769231","27.2267175572519","26.3290076335878","24.4396946564886","22.7488549618321","21.9770992366412","","","",
"Lesotho","LSO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","138","103","73","73","39","39","39","39","29","29","29","29","29","29","29","15","","","",
"Late-demographic dividend","LTE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.8060606060606","38.9472222222222","34.7525","33.2047619047619","29.6318181818182","25.1711111111111","23.56","22.4488888888889","19.6466666666667","18.58","19.0375","18.30625","15.5708333333333","15.7854166666667","14.36875","12.3229166666667","11.2708333333333","","","",
"Lithuania","LTU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","26","26","26","26","26","26","22","22","19.5","8.5","5.5","5.5","5.5","5.5","5.5","5.5","","","",
"Luxembourg","LUX","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","24","24","22","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","16.5","","","",
"Latvia","LVA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","16","16","15.5","15.5","15.5","15.5","15.5","12.5","12.5","5.5","5.5","5.5","5.5","5.5","","","",
"Macao SAR, China","MAC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","12","12","12","12","12","12","12","12","12","11.5","11.5","10.5","10","9","9","9","","","",
"Monaco","MCO","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","32","30","31","23","16","10","10","9","9","7","7","6","6","5","4","4","","","",
"Madagascar","MDG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67","47","42","20","12","12","12","12","12","12","12","12","13","12","8","8","8","","","",
"Maldives","MDV","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","9","9","9","12","12","12","12","12","12","12","12","12","12","12","","","",
"Middle East & North Africa","MEA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4214285714286","40.93125","38.9941176470588","37.7","32.8157894736842","24.4421052631579","22.9105263157895","23.0421052631579","23.26","24.4857142857143","23.1095238095238","22.352380952381","22.4","23.4190476190476","21.2047619047619","20.3714285714286","19.5190476190476","","","",
"Mexico","MEX","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","8.4","8.4","8.4","8.4","8.4","8.4","","","",
"Marshall Islands","MHL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","17","","","",
"Middle income","MIC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2222222222222","56.0128205128205","59.978021978022","56.7065217391304","52.2663043478261","49.4565217391304","46.4569892473118","44.3709677419355","40.9838709677419","40.2473684210526","32.6307692307692","29.1884615384615","28.2855769230769","27.2894230769231","25.0826923076923","22.8615384615385","22.0817307692308","","","",
"North Macedonia","MKD","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","31","28","22","17","16","16","15","15","15","15","15","15","15","15","","","",
"Mali","MLI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","33","27","42","25","25","8","8","8","8","11","11","8.5","8.5","11","11","11","","","",
"Malta","MLT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5","38.5","38.5","33.5","28","26","16","16","20.5","","","",
"Myanmar","MMR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77","77","77","16","14","14","14","7","","","",
"Middle East & North Africa (excluding high income)","MNA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.5","42.2272727272727","39.9583333333333","39.625","38.875","27.7083333333333","25.7083333333333","25.7083333333333","25.625","27.9615384615385","26.2307692307692","25.4615384615385","26.0769230769231","26.1923076923077","25.5","24.8076923076923","24.8846153846154","","","",
"Montenegro","MNE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","26","23","14","12","12","12","12","12","12","12","12","12","12","","","",
"Mongolia","MNG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","17","17","17","17","17","17","17","17","16","16","16","12","12","12","12","12","","","",
"Northern Mariana Islands","MNP","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177","179","179","117","32","34","34","21","21","21","21","21","21","21","17","17","17","","","",
"Mauritania","MRT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","82","82","82","50","19","19","19","19","19","19","8","8","8","6","6","6","","","",
"Mauritius","MUS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.5","46.5","46.5","7.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","5.5","5","4.5","","","",
"Malawi","MWI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","37","37","37","37","37","36","36","36","37","40","38","38","37","37","37","37","","","",
"Malaysia","MYS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.5","37.5","37.5","37.5","31.5","20.5","18.5","17.5","8.5","9.5","9.5","7.5","7.5","23.5","23.5","13.5","17.5","","","",
"North America","NAC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5","3.5","3.5","3.5","3.5","5.5","5.5","5.5","5.5","5.5","5.85","5.55","3.55","3.55","3.55","3.55","2.85","","","",
"Namibia","NAM","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","85","95","95","99","66","66","66","66","66","66","66","66","66","54","54","54","","","",
"New Caledonia","NCL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","32","24","20","18","18","18","18","18","16","16","11","8","10","10","","","",
"Nigeria","NGA","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3","30.3","30.3","24.9","18.9","10.9","7.2","","","",
"Nicaragua","NIC","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47","40","40","40","39","39","39","39","39","39","37","14","14","14","14","14","14","","","",
"Netherlands","NLD","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","8","8","8","8","8","8","5","4","3.5","3.5","3.5","3.5","3.5","3.5","","","",
"Norway","NOR","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","8","7","8","6","6","6","6","6","6","5","4","4","4","4","4","","","",
"Nepal","NPL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","31","31","31","31","31","29","29","17","17","17","17","18.5","18.5","22.5","","","",
"Nauru","NRU","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Zealand","NZL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","12","12","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","","","",
"OECD members","OED","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8030303030303","33.9411764705882","27.4852941176471","24.8714285714286","22.4142857142857","19.1285714285714","17.8285714285714","16.8714285714286","15.0142857142857","14.3714285714286","12.4157894736842","11.3342105263158","10.5184210526316","10.0973684210526","10.0973684210526","10.0447368421053","9.48157894736842","","","",
"Oman","OMN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4","36.4","36.4","43.4","40.4","15.4","13.4","13.4","9.3","9.3","9.3","9.3","9.3","7.3","4.3","4.3","4.3","","","",
"Other small states","OSS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","85.45","79.7894736842105","76.4523809523809","66.9826086956522","59.3166666666667","55.4791666666667","52.6666666666667","36.08","35.6923076923077","33.6153846153846","29.6","24.9076923076923","24.6538461538462","18.5384615384615","18.1346153846154","15.5769230769231","","","",
"Pakistan","PAK","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","20","19.5","16.5","16.5","","","",
"Panama","PAN","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","18","18","12","12","9","8","7","6","6","6","6","6","6","6","","","",
"Peru","PER","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.5","100.5","104.5","74.5","74.5","67","41","42.5","41.5","41.5","41.5","41.5","41.5","41","41","26","26","","","",
"Philippines","PHL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37","37","35","35","35","34","34","29","28","28","28","26","25","25","39","34","33","","","",
"Palau","PLW","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","24","24","28","28","28","28","28","28","28","28","28","28","28","28","28","28","","","",
"Papua New Guinea","PNG","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","52","52","52","52","52","52","52","52","52","53","53","53","41","41","41","41","","","",
"Poland","POL","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","63","52","45","45","45","39","39","39","39","37","37","37","37","37","37","37","","","",
"Pre-demographic dividend","PRE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.3958333333333","55.3448275862069","62.469696969697","60.0441176470588","54.5441176470588","52.5294117647059","50.5","46.9705882352941","38.4705882352941","36.1571428571429","31.1055555555556","26.05","26.1702702702703","25.3486486486486","21.3486486486486","21.2405405405405","20.6540540540541","","","",
"Puerto Rico","PRI","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","7","7","7","6","6","6","6","6","5.5","5.5","5.5","5.5","","","",
"Korea, Dem. People's Rep.","PRK","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","78","48","9","8","7","7","7","7","7","6","6","6","6","6.5","6.5","6.5","","","",
"Paraguay","PRY","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72","72","72","72","34","35","35","35","35","35","35","35","35","35","35","35","35","","","",
"West Bank and Gaza","PSE","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5","74.5","74.5","73.5","63.5","63.5","63.5","62.5","49.5","47.5","43.5","43.5","43.5","43.5","43.5","43.5","","","",
"Pacific island small states","PSS","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4444444444444","32.7777777777778","33.4444444444444","33.8888888888889","33.8888888888889","33.1111111111111","30.2222222222222","30.2222222222222","26.1111111111111","23.8888888888889","24.3333333333333","24.3333333333333","24.3333333333333","20.4444444444444","20.4444444444444","20.4444444444444","20.4444444444444","","","",
"Post-demographic dividend","PST","Time required to start a business (days)","IC.REG.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5833333333333","32.5166666666667","28.4838709677419","25.5","22.6875","20.203125","17.734375","17.296875","15.9264705882353","15.75","14.8722222222222","13.7583333333333","12.4666666666667","11.8694444444444","11.5916666666667","11.6194444444444","11.1916666666667","","","",
